I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
0.12520789,4339876.5,90.125496,1.7285868,0.952018,0.08011334,0.0138748335,0.0022934326,0.9697019,1536.4957,1.4816992,4.7094836,52.181595,1.2352402,4.8135953,583.0511,37.151226
2.757043,49018376.0,2756.7722,121.28698,0.98481,0.12138207,0.06895894,0.0054590455,1.0233642,650.5828,10.0,10.0,0.0,10.0,10.0,0.0,29.428083
2.7425075,91628980.0,-3904.9978,282.296,2.6966279,0.26889563,0.068190336,0.0063991426,2.766513,1576.1472,9.365125,8.269683,608.51416,6.777212,8.092885,842.35284,17.780546
5.3232636,86598250.0,1.4551915e-11,331.61145,2.6801674,0.2670692,0.12250701,0.006701882,2.749532,1405.072,1.463597,5.1687818,563.61694,1.463597,5.1687818,563.61694,16.751392
2.7877052,113208264.0,-241.89923,436.24893,2.3651109,0.18988483,0.08190699,0.0069012833,2.4051576,1225.2238,7.7327867,8.548837,586.43024,5.1210213,2.3139155,761.6662,14.5122795
1.6841087,41791040.0,-3086.5605,73.32646,0.69408077,0.055235103,0.052744094,0.004652271,0.7056304,532.70715,3.2125618,5.9148054,355.5034,4.430917,9.69791,835.5968,29.206175
11.219633,320979330.0,-93796.58,6680.244,1.4997166,0.11970506,0.11127388,0.016167697,1.5248197,334.24185,10.0,10.0,0.0,10.0,10.0,0.0,7.5539722
0.90490204,22157070.0,-4.5474735e-12,37.40663,1.8283321,0.14892542,0.031883243,0.0043624584,1.8601838,1431.653,6.0125294,4.328949,440.98453,6.0125294,4.328949,440.98453,18.720718
8.437074,257344380.0,4421.489,4789.8203,2.8574955,0.45970863,0.093783714,0.015369551,3.0439796,705.569,9.837905,8.386312,625.7454,5.5962906,7.22942,889.9354,26.881866
0.36074895,4970115.5,-76.70534,1.6973206,0.78861755,0.12290731,0.024934907,0.002030042,0.8370698,1432.3955,0.22672449,1.4703069,270.3519,6.194856,0.7993291,257.83286,94.03833
4.4238763,57383280.0,-3.637979e-12,268.01944,2.8941429,0.38677815,0.10925246,0.007288826,3.0266044,1400.4423,10.0,10.0,0.0,10.0,10.0,0.0,11.037925
8.905236,224925520.0,-37575.152,4080.273,1.9690459,0.21999371,0.078197874,0.015081968,2.0327542,477.26505,5.8300157,8.085659,765.33014,8.624075,7.863453,649.4553,23.288557
1.1472224,30380074.0,-2495.5784,147.15121,2.7808106,0.23905052,0.042872336,0.007642509,2.8346772,1288.0006,2.786829,2.3531358,755.74304,1.560882,5.6580677,410.61157,13.701295
0.22160713,4228115.5,-23.933094,3.0078197,1.3880824,0.1343502,0.01236793,0.0028935878,1.4220177,1685.9805,2.328336,6.95224,247.93391,3.573904,5.4753675,405.02148,32.674557
2.1120927,72155750.0,6308.2666,275.11377,2.7507794,0.21914782,0.09332105,0.0067711216,2.7966518,1432.2463,8.967495,4.030367,179.61743,8.967495,4.030367,179.61743,12.0336075
0.8160551,25849030.0,91.0984,23.167915,1.5043638,0.15633689,0.058038022,0.0033232577,1.5466298,1633.6726,6.484715,7.1984825,553.72046,6.9956255,6.913886,874.82056,32.47729
1.1706764,19376850.0,1195.0743,17.065258,1.1488557,0.114430495,0.053772893,0.003311512,1.1785641,1255.8517,10.0,10.0,0.0,10.0,10.0,0.0,20.688654
10.348508,286361250.0,112715.97,6615.718,2.2834103,0.54197776,0.11062242,0.016612481,2.5906298,538.9817,4.9586687,8.220951,628.82983,4.9586687,8.220951,628.82983,41.261562
2.4388177,29121262.0,2747.2266,149.51631,1.7715142,0.41458338,0.04364818,0.007952933,2.0038223,884.3415,3.7299342,0.8948312,179.3882,2.5144608,5.0222354,577.51434,56.594776
4.181738,94099680.0,12054.6,1886.9951,2.181978,0.35311866,0.069360204,0.015826555,2.3259876,519.4169,10.0,10.0,0.0,10.0,10.0,0.0,17.474478
0.7499114,15411630.0,1.364242e-12,24.74229,1.5353427,0.12238319,0.027138354,0.0043447483,1.5609738,1231.9694,1.8213037,7.6407056,484.56888,1.8213037,7.6407056,484.56888,20.408821
2.6326897,33322106.0,-2009.1855,56.38458,1.5438727,0.21562402,0.0871867,0.0046016504,1.6207848,1245.981,6.1088977,1.5198793,13.970848,1.6993757,1.1161348,665.7299,38.1457
0.20811754,4160054.5,38.362827,4.956996,1.8715483,0.16321433,0.011985986,0.0038729147,1.9088402,1748.6779,10.0,10.0,0.0,10.0,10.0,0.0,10.958917
3.7512748,100753660.0,3.637979e-12,331.3903,2.9657145,0.26922438,0.09872481,0.006120338,3.0296557,1670.5282,4.144878,0.65806,398.04175,4.144878,0.65806,398.04175,13.748071
2.1009889,95880690.0,-9996.203,330.60822,1.5986176,0.2524832,0.0889108,0.0065165833,1.6993531,915.1502,7.861478,8.3786955,299.84583,9.454183,9.9525795,632.43005,45.846264
0.5537627,24000218.0,-9.094947e-13,42.903286,2.1287684,0.307511,0.05160465,0.0045239534,2.241904,1676.7924,10.0,10.0,1000.0,10.0,10.0,1000.0,32.603184
4.3966746,98481940.0,-5589.5645,421.55432,2.7603636,0.48136652,0.11340704,0.007221231,2.9701858,1435.6055,4.4069166,8.034806,138.92307,3.490777,1.6023318,211.0222,29.445726
3.615403,95822584.0,2863.9712,357.9444,1.9454626,0.30834755,0.073876396,0.0067921733,2.0688782,1070.4369,2.8062668,3.3607924,816.8828,1.596561,7.254444,740.4289,39.01502
3.4863129,48527692.0,8629.156,487.5975,1.8562846,0.1993402,0.054260544,0.010980889,1.9118843,603.1505,7.476814,6.881937,708.06134,7.476814,6.881937,708.06134,25.10869
24.917685,495767940.0,127779.19,6785.6016,2.4925315,0.29001024,0.23708758,0.013303603,2.579795,697.3169,10.0,10.0,0.0,10.0,10.0,0.0,11.516204
0.37155366,8417381.0,0.0,13.567822,1.7177095,0.31522468,0.020676764,0.004326353,1.8614196,1466.1476,0.6463468,1.8002647,259.04913,0.6463468,1.8002647,259.04913,49.48062
0.029539663,2187536.5,56.018173,0.50495845,0.6488767,0.10638553,0.0059562167,0.001676842,0.69277203,1441.9166,4.5635147,4.34622,992.1083,7.396492,8.96511,788.16046,124.145775
1.8042504,106842750.0,-1.4551915e-11,498.3538,2.2507849,0.28501242,0.08603116,0.0073299,2.343625,1085.155,3.4207194,1.4088595,527.1221,3.4207194,1.4088595,527.1221,26.213854
6.051548,216551580.0,15561.633,1118.5812,2.7776008,0.22851945,0.1541311,0.007863213,2.8269517,1243.8423,5.041376,7.761021,703.2122,7.3412757,0.42040893,514.39417,12.742895
1.6104342,41234180.0,-1314.8337,139.3144,2.96142,0.55603206,0.036541414,0.006481509,3.2200198,1751.819,2.4810812,0.7296409,384.7877,0.44900665,2.0049584,130.40036,30.203716
11.0715,280027870.0,5.820766e-11,3009.6743,1.4448233,0.30609515,0.16007787,0.011018643,1.6027086,488.8723,10.0,10.0,1000.0,10.0,10.0,1000.0,56.60128
